postal_code,state_code
006,PR
00602,PR
00603,PR
00604,PR
00605,PR
00606,PR
00610,PR
00612,PR
00613,PR
00623,PR
00624,PR
00627,PR
00637,PR
00638,PR
00641,PR
00646,PR
00650,PR
00652,PR
00659,PR
00660,PR
00662,PR
00664,PR
00667,PR
00670,PR
00674,PR
00676,PR
00677,PR
00678,PR
00680,PR
00681,PR
00682,PR
00683,PR
00685,PR
00687,PR
00690,PR
00692,PR
00693,PR
00698,PR
007,PR
00703,PR
00704,PR
00705,PR
00714,PR
00715,PR
00716,PR
00717,PR
00719,PR
00720,PR
00725,PR
00726,PR
00727,PR
00728,PR
00729,PR
00730,PR
00731,PR
00732,PR
00736,PR
00738,PR
00739,PR
00745,PR
00754,PR
00757,PR
00766,PR
00767,PR
00769,PR
00771,PR
00772,PR
00773,PR
00777,PR
00778,PR
00780,PR
00782,PR
00783,PR
00784,PR
00785,PR
00791,PR
00792,PR
00794,PR
00795,PR
008,VI
00802,VI
009,PR
00901,PR
00907,PR
00908,PR
00909,PR
00915,PR
00917,PR
00918,PR
00919,PR
00920,PR
00921,PR
00922,PR
00924,PR
00925,PR
00926,PR
00927,PR
00928,PR
00929,PR
00935,PR
00936,PR
00949,PR
00952,PR
00953,PR
00954,PR
00956,PR
00957,PR
00958,PR
00959,PR
00960,PR
00961,PR
00962,PR
00965,PR
00966,PR
00968,PR
00969,PR
00976,PR
00977,PR
00979,PR
00982,PR
00983,PR
00984,PR
00985,PR
00987,PR
010,MA
01001,MA
01002,MA
01005,MA
01007,MA
01010,MA
01013,MA
01020,MA
01026,MA
01027,MA
01028,MA
01030,MA
01035,MA
01040,MA
01041,MA
01053,MA
01056,MA
01057,MA
01060,MA
01062,MA
01071,MA
01073,MA
01075,MA
01077,MA
01082,MA
01085,MA
01089,MA
01090,MA
01095,MA
011,MA
01103,MA
01104,MA
01105,MA
01106,MA
01107,MA
01108,MA
01109,MA
01115,MA
01118,MA
01129,MA
01199,MA
012,MA
01201,MA
01230,MA
01238,MA
01247,MA
01267,MA
013,MA
01301,MA
01330,MA
01331,MA
01370,MA
01376,MA
014,MA
01420,MA
01431,MA
01432,MA
01434,MA
01440,MA
01453,MA
01460,MA
01462,MA
01463,MA
01468,MA
01469,MA
01473,MA
01475,MA
015,MA
01501,MA
01504,MA
01505,MA
01520,MA
01527,MA
01532,MA
01534,MA
01535,MA
01536,MA
01543,MA
01545,MA
01550,MA
01561,MA
01564,MA
01566,MA
01569,MA
01571,MA
01581,MA
01590,MA
016,MA
01602,MA
01603,MA
01604,MA
01605,MA
01606,MA
01607,MA
01608,MA
01609,MA
01610,MA
01655,MA
017,MA
01701,MA
01702,MA
01720,MA
01721,MA
01730,MA
01742,MA
01746,MA
01748,MA
01749,MA
01752,MA
01754,MA
01757,MA
01760,MA
01770,MA
01772,MA
01775,MA
01776,MA
018,MA
01801,MA
01803,MA
01805,MA
01810,MA
01821,MA
01824,MA
01826,MA
01827,MA
01832,MA
01833,MA
01835,MA
01840,MA
01841,MA
01843,MA
01844,MA
01845,MA
01850,MA
01851,MA
01852,MA
01854,MA
01862,MA
01863,MA
01864,MA
01867,MA
01876,MA
01880,MA
01886,MA
01887,MA
01890,MA
019,MA
01901,MA
